iter	RMSE
0	7256932.92411	6130435.76522	5215564.6933	4554131.076
4	4523196.039
5	3995671.968
6	2925177.439
7	2501787.334
8	2335173.26
9	2077909.113
10	1871185.874
11	1696410.282
112	2421483.22413	1558095.781414	1504167.831115	1383635.471116	1295337.791117	1258013.871118	1219774.841119	1174982.420	20	1079215.21	221	1039051.22	122	970399.023	123	911190.5114
24	868041.6856
25	825874.26	2626	813181.27	1127	766427.28	2828	753059.29	1040509.395
30	1014414.691
31	997126.6824
32	923572.2677
33	9033	650312.3434	34	638436.3535	35	595947.36	8136	585290.5348
37	557820.2212
38	551412.39	739	545360.940	740	523633.0925
41	497642.3337
42	494402.5115
43	491642.8119
44	471231.414
45	468641.0102
46	464663.3248
47	456586.6272
48	440707.2295
49	418285.9627
50	401018.6935
51	396888.1301
52	381247.3198
53	373468.1082
54	360443.3508
55	350375.4888
56	340072.933
57	333175.3007
58	329814.3486
59	327164.6166
60	318897.4743
61	314228.2815
62	308526.7528
63	299316.5977
64	297512.5618
65	293491.487
66	286833.8498
67	282172.873
68	275308.3021
69	267736.4003
70	261299.6592
71	253378.8294
72	249584.0088
73	247873.0421
74	241393.172
75	235244.069
76	230278.802
77	225241.3837
78	224612.8259
79	221791.8636
80	216984.7251
81	216527.0374
82	214112.0557
83	212413.8631
84	208777.5385
85	206207.9383
86	201781.9566
87	197603.08
88	195312.4885
89	191308.2849
90	186753.9372
91	183616.1904
92	183077.1548
93	181194.8737
94	177975.7415
95	174606.0182
96	169768.268
97	167381.5844
98	164490.0036
99	162674.3628
49
1
