iter	Passed	Remaining
0	62	6155
1	65	3216
2	68	2226
3	72	1739
4	77	1481
5	82	1290
6	86	1149
7	90	103588	93	94399	96	867110	99	804111	102	748112	105	701113	108	661114	112	631515	116	611616	119	581717	121	551818	124	521919	127	512220	131	492121	133	472222	137	452223	141	447
24	144	432
25	146	412626	149	402227	152	392828	155	38229	158	369330	161	360331	164	349332	167	3403333	171	333434	174	323535	177	313336	182	310
37	186	304
38	188	294339	191	287440	196	282
41	199	275
42	203	270
43	207	264
44	210	257
45	214	251
46	218	245
47	221	239
48	223	233
49	227	227
50	231	222
51	233	215
52	236	209
53	239	203
54	241	197
55	245	193
56	249	188
57	253	183
58	257	178
59	260	173
60	262	168
61	268	164
62	271	159
63	275	154
64	279	150
65	283	146
66	286	140
67	289	136
68	291	130
69	294	126
70	297	121
71	299	116
72	302	111
73	305	107
74	308	102
75	310	98
76	313	93
77	316	89
78	319	84
79	321	80
80	323	75
81	326	71
82	330	67
83	333	63
84	336	59
85	340	55
86	342	51
87	345	47
88	348	43
89	351	39
90	354	35
91	357	31
92	360	27
93	362	23
94	365	19
95	367	15
96	369	11
97	371	7
98	372	3
99	373	0
